index,season no.,episode no.,episode name,name,line
0,1,1,Pilot,John,Harry! You gotta come on. Jus'... you gotta come with me.
1,1,1,Pilot,Harry,"What, John? What’s going on?"
2,1,1,Pilot,John,"I got a surprise for you, Harry."
3,1,1,Pilot,Harry,It's the middle of the night. What are you talking about?
4,1,1,Pilot,John,"Come on, I got a surprise for you.  Come on, hurry up."
5,1,1,Pilot,Harry,Ow! Ow! You're tugging me too hard!
6,1,1,Pilot,John,"We gotta go, gotta get outta here, come on. Got a surprise for you Harry."
7,1,1,Pilot,John,"What do you think of this... flying vehicle, Harry? I built it outta stuff I found in the garage."
8,1,1,Pilot,Harry,"Yeah, John... I-it's great. Is this the surprise?"
9,1,1,Pilot,John,"Harry. I had to... I had to do it. I had— I had to— I had to make a bomb, Harry. I had to create a bomb."
10,1,1,Pilot,Harry,What?! A bomb?!
11,1,1,Pilot,John,"We're gonna drop it down there just get a whole fresh start, Harry. Create a whole fresh start."
12,1,1,Pilot,Harry,T-t-that's absolutely crazy!
13,1,1,Pilot,John,"Come on, Harry. Just take it easy, Harry. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
14,1,1,Pilot,Harry,Jessica? From my math class?
15,1,1,Pilot,John,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
16,1,1,Pilot,Harry,Ohh...
17,1,1,Pilot,John,And Jessica's gonna be Eve.
18,1,1,Pilot,Harry,Whhhh-wha?
19,1,1,Pilot,John,"And so that's the surprise, Harry."
20,1,1,Pilot,Harry,"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!"
21,1,1,Pilot,John,"I-I get what you're trying to say, Harry. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Harry."
22,1,1,Pilot,Harry,"What are you talking about, John?"
23,1,1,Pilot,John,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Harry."
24,1,1,Pilot,Harry,I don't care about Jessica! Y-Yyyyyyyyyyou—
25,1,1,Pilot,John,"You know what, Harry? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways."
27,1,1,Pilot,Harry,"That's it... that's it, John. I'm taking the wheel."
28,1,1,Pilot,John,"Get off of me, Harry!"
29,1,1,Pilot,Harry,"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!"
30,1,1,Pilot,John,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Harry."
31,1,1,Pilot,John,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.
32,1,1,Pilot,John,"We'll park it right here, Harry. Right here on the side of the ree... road here."
33,1,1,Pilot,Harry,"Oh, thank god."
34,1,1,Pilot,John,"You know what? That was all a test, Harry. Just an elaborate test to make you more assertive."
35,1,1,Pilot,Harry,It was?
36,1,1,Pilot,John,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—"
38,1,1,Pilot,Harry,Um...
39,1,1,Pilot,Jerry,I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?
40,1,1,Pilot,Summer,"Oh my God, his head is in his food. I'm going to puke."
